,Fault Source Name,Slip Rate,Lower Seismogenic Depth,Dip,Magnitude Scaling Relationship,Mmax (L),Mmax (P),Mmax (U)
144,FallaMesacalane,Upper,Lower,Upper,Lower,6.14,6.44,6.74
145,FallaTambo,Upper,Lower,Upper,Lower,6.84,7.14,7.44
146,FallaToquepala,Upper,Lower,Upper,Lower,6.93,7.23,7.53
147,ZonadefallasCarumas-Calacoa,Upper,Lower,Upper,Lower,6.99,7.29,7.59
148,ZonadefallasCoralaque,Upper,Lower,Upper,Lower,6.63,6.93,7.23
149,ZonadefallasHuaynaputina,Upper,Lower,Upper,Lower,6.71,7.01,7.31
150,ZonadefallasIchuna,Upper,Lower,Upper,Lower,7.15,7.45,7.75
151,ZonadefallasPastoGrande,Upper,Lower,Upper,Lower,6.91,7.21,7.51
152,ZonadefallasTicsani-Suches,Upper,Lower,Upper,Lower,6.77,7.07,7.37
153,FallaPurgatorio,Pref,Upper,Upper,Upper,7.08,7.38,7.68
154,FallaIncapuquio,Pref,Upper,Upper,Upper,7.33,7.63,7.93
155,FallaMicalaco,Pref,Upper,Upper,Upper,6.85,7.15,7.45
156,FallaCerroRocoso,Pref,Upper,Upper,Upper,6.45,6.75,7.05
157,FallaChascoso,Pref,Upper,Upper,Upper,6.08,6.38,6.68
158,FallaChololo,Pref,Upper,Upper,Upper,7.16,7.46,7.76
159,FallaChulibaya,Pref,Upper,Upper,Upper,6.3,6.6,6.9
160,FallaCupine-pampaTrapiche,Pref,Upper,Upper,Upper,7.37,7.67,7.97
161,FallaMesacalane,Pref,Upper,Upper,Upper,6.31,6.61,6.91
162,FallaTambo,Pref,Upper,Upper,Upper,7.01,7.31,7.61
163,FallaToquepala,Pref,Upper,Upper,Upper,7.1,7.4,7.7
164,ZonadefallasCarumas-Calacoa,Pref,Upper,Upper,Upper,7.17,7.47,7.77
165,ZonadefallasCoralaque,Pref,Upper,Upper,Upper,6.81,7.11,7.41
166,ZonadefallasHuaynaputina,Pref,Upper,Upper,Upper,6.89,7.19,7.49
167,ZonadefallasIchuna,Pref,Upper,Upper,Upper,7.32,7.62,7.92
168,ZonadefallasPastoGrande,Pref,Upper,Upper,Upper,7.08,7.38,7.68
169,ZonadefallasTicsani-Suches,Pref,Upper,Upper,Upper,6.95,7.25,7.55
170,FallaPurgatorio,Pref,Pref,Upper,Upper,7.0,7.3,7.6
171,FallaIncapuquio,Pref,Pref,Upper,Upper,7.25,7.55,7.85
172,FallaMicalaco,Pref,Pref,Upper,Upper,6.77,7.07,7.37
173,FallaCerroRocoso,Pref,Pref,Upper,Upper,6.37,6.67,6.97
174,FallaChascoso,Pref,Pref,Upper,Upper,6.0,6.3,6.6
175,FallaChololo,Pref,Pref,Upper,Upper,7.08,7.38,7.68
176,FallaChulibaya,Pref,Pref,Upper,Upper,6.22,6.52,6.82
177,FallaCupine-pampaTrapiche,Pref,Pref,Upper,Upper,7.29,7.59,7.89
178,FallaMesacalane,Pref,Pref,Upper,Upper,6.24,6.54,6.84
179,FallaTambo,Pref,Pref,Upper,Upper,6.93,7.23,7.53
180,FallaToquepala,Pref,Pref,Upper,Upper,7.02,7.32,7.62
181,ZonadefallasCarumas-Calacoa,Pref,Pref,Upper,Upper,7.09,7.39,7.69
182,ZonadefallasCoralaque,Pref,Pref,Upper,Upper,6.73,7.03,7.33
183,ZonadefallasHuaynaputina,Pref,Pref,Upper,Upper,6.81,7.11,7.41
184,ZonadefallasIchuna,Pref,Pref,Upper,Upper,7.24,7.54,7.84
185,ZonadefallasPastoGrande,Pref,Pref,Upper,Upper,7.0,7.3,7.6
186,ZonadefallasTicsani-Suches,Pref,Pref,Upper,Upper,6.87,7.17,7.47
187,FallaPurgatorio,Pref,Lower,Upper,Upper,6.91,7.21,7.51
188,FallaIncapuquio,Pref,Lower,Upper,Upper,7.15,7.45,7.75
189,FallaMicalaco,Pref,Lower,Upper,Upper,6.68,6.98,7.28
190,FallaCerroRocoso,Pref,Lower,Upper,Upper,6.28,6.58,6.88
191,FallaChascoso,Pref,Lower,Upper,Upper,5.9,6.2,6.5
192,FallaChololo,Pref,Lower,Upper,Upper,6.98,7.28,7.58
193,FallaChulibaya,Pref,Lower,Upper,Upper,6.12,6.42,6.72
194,FallaCupine-pampaTrapiche,Pref,Lower,Upper,Upper,7.19,7.49,7.79
195,FallaMesacalane,Pref,Lower,Upper,Upper,6.14,6.44,6.74
196,FallaTambo,Pref,Lower,Upper,Upper,6.84,7.14,7.44
197,FallaToquepala,Pref,Lower,Upper,Upper,6.93,7.23,7.53
198,ZonadefallasCarumas-Calacoa,Pref,Lower,Upper,Upper,6.99,7.29,7.59
199,ZonadefallasCoralaque,Pref,Lower,Upper,Upper,6.63,6.93,7.23
200,ZonadefallasHuaynaputina,Pref,Lower,Upper,Upper,6.71,7.01,7.31
201,ZonadefallasIchuna,Pref,Lower,Upper,Upper,7.15,7.45,7.75
202,ZonadefallasPastoGrande,Pref,Lower,Upper,Upper,6.91,7.21,7.51
203,ZonadefallasTicsani-Suches,Pref,Lower,Upper,Upper,6.77,7.07,7.37
204,FallaPurgatorio,Pref,Upper,Upper,Pref,7.08,7.38,7.68
205,FallaIncapuquio,Pref,Upper,Upper,Pref,7.33,7.63,7.93
206,FallaMicalaco,Pref,Upper,Upper,Pref,6.85,7.15,7.45
207,FallaCerroRocoso,Pref,Upper,Upper,Pref,6.45,6.75,7.05
208,FallaChascoso,Pref,Upper,Upper,Pref,6.08,6.38,6.68
209,FallaChololo,Pref,Upper,Upper,Pref,7.16,7.46,7.76
